published,ecosystem,fixed,severity
2022-04-15T00:00:32Z,Maven,1.0,HIGH
2022-04-02T00:00:13Z,RubyGems,1.0,HIGH
2022-04-21T01:54:03Z,PyPI,1.0,MODERATE
2022-04-22T00:00:36Z,Maven,1.0,HIGH
2022-04-05T00:00:28Z,Maven,0.0,HIGH
2022-04-07T00:00:17Z,npm,1.0,HIGH
2022-04-06T00:01:31Z,npm,1.0,HIGH
2022-04-22T20:39:10Z,Maven,1.0,HIGH
2022-04-13T00:00:16Z,npm,1.0,MODERATE
2022-04-06T00:01:35Z,Maven,0.0,HIGH
2022-04-03T00:00:59Z,Maven,1.0,CRITICAL
2022-04-01T00:00:45Z,Maven,0.0,MODERATE
2022-04-06T00:01:33Z,Packagist,1.0,HIGH
2022-04-23T00:03:01Z,npm,1.0,CRITICAL
2022-04-01T12:56:28Z,Packagist,1.0,MODERATE
2022-04-13T00:00:30Z,Maven,1.0,CRITICAL
2022-04-04T21:23:55Z,Go,1.0,MODERATE
2022-04-08T22:08:45Z,Go,1.0,MODERATE
2022-04-23T00:03:03Z,Go,0.0,HIGH
2022-04-27T22:28:59Z,RubyGems,1.0,HIGH
2022-04-13T00:00:25Z,npm,0.0,CRITICAL
2022-04-27T22:32:49Z,RubyGems,1.0,HIGH
2022-04-07T22:09:03Z,RubyGems,1.0,MODERATE
2022-04-22T20:16:45Z,crates.io,1.0,HIGH
2022-04-12T21:26:27Z,Hex,1.0,MODERATE
2022-04-22T20:24:13Z,PyPI,1.0,HIGH
2022-04-06T00:01:31Z,Packagist,1.0,HIGH
2022-04-03T00:01:00Z,Maven,1.0,MODERATE
2022-04-05T15:55:51Z,RubyGems,1.0,MODERATE
2022-04-02T00:00:13Z,RubyGems,1.0,HIGH
2022-04-22T20:13:21Z,Go,1.0,CRITICAL
2022-04-01T13:39:45Z,Packagist,1.0,HIGH
2022-04-11T21:30:00Z,RubyGems,1.0,MODERATE
2022-04-13T00:00:24Z,npm,0.0,CRITICAL
2022-04-15T00:00:40Z,crates.io,0.0,LOW
2022-04-05T00:00:17Z,npm,1.0,MODERATE
2022-04-03T00:00:58Z,PyPI,1.0,CRITICAL
2022-04-11T21:21:28Z,RubyGems,1.0,HIGH
2022-04-23T00:03:04Z,Maven,1.0,MODERATE
2022-04-08T22:43:17Z,Maven,1.0,HIGH
2022-04-08T21:59:04Z,Maven,1.0,MODERATE
2022-04-08T22:00:54Z,Maven,1.0,MODERATE
2022-04-22T20:25:53Z,PyPI,1.0,MODERATE
2022-04-14T00:00:17Z,Go,1.0,MODERATE
2022-04-13T00:00:16Z,Maven,1.0,MODERATE
2022-04-04T21:29:41Z,PyPI,1.0,HIGH
2022-04-02T00:00:15Z,Packagist,0.0,CRITICAL
2022-04-04T00:00:54Z,Packagist,1.0,MODERATE
2022-04-01T00:00:41Z,Packagist,1.0,HIGH
2022-04-09T00:00:25Z,Packagist,1.0,HIGH
2022-04-26T00:00:35Z,Packagist,1.0,HIGH
2022-04-07T15:20:23Z,npm,1.0,HIGH
2022-04-12T21:17:38Z,Hex,1.0,MODERATE
2022-04-05T00:00:23Z,Packagist,0.0,HIGH
2022-04-13T00:00:30Z,npm,1.0,HIGH
2022-04-12T19:36:39Z,Hex,1.0,CRITICAL
2022-04-23T00:03:04Z,Maven,1.0,MODERATE
2022-04-09T00:00:30Z,Packagist,1.0,HIGH
2022-04-03T00:01:00Z,npm,1.0,MODERATE
2022-04-26T12:59:00Z,Maven,1.0,MODERATE
2022-04-26T00:00:40Z,npm,1.0,HIGH
2022-04-22T20:55:52Z,Go,1.0,HIGH
2022-04-23T00:03:04Z,Maven,1.0,MODERATE
2022-04-22T21:04:07Z,Packagist,1.0,HIGH
2022-04-12T22:41:32Z,Go,1.0,HIGH
2022-04-23T00:40:39Z,PyPI,1.0,MODERATE
2022-04-12T21:16:09Z,Hex,1.0,MODERATE
2022-04-01T17:26:03Z,npm,1.0,HIGH
2022-04-06T00:01:30Z,Packagist,0.0,HIGH
